,rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
44,45,30200,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,1,U,M,2/2/1980 0:00,Huang,Colin Zheng,4/4/2023 5:01,1980.0,2.0,2.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
45,46,29700,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,1,U,M,4/20/1935 0:00,Wuerth,Reinhold,4/4/2023 5:01,1935.0,4.0,20.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
47,48,28500,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,1,U,M,7/17/1958 0:00,Yass,Jeff,4/4/2023 5:01,1958.0,7.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
48,49,28100,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,1,D,M,4/25/1938 0:00,Simons,Jim,4/4/2023 5:01,1938.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49,50,27800,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,1,D,M,2/14/1947 0:00,Schwarzman,Stephen,4/4/2023 5:01,1947.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50,51,27400,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,0,U,F,4/28/1962 0:00,Klatten,Susanne,4/4/2023 5:01,1962.0,4.0,28.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
51,52,27000,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,0,D,F,2/9/1954 0:00,Rinehart,Gina,4/4/2023 5:01,1954.0,2.0,9.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
52,53,26700,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,1,U,M,10/1/1971 0:00,Ding,William,4/4/2023 5:01,1971.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
53,54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,0,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,4/4/2023 5:01,1953.0,10.0,26.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
54,55,25600,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,1,D,M,7/18/1945 0:00,Nadar,Shiv,4/4/2023 5:01,1945.0,7.0,18.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
55,56,25500,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,1,U,M,4/17/1948 0:00,Low Tuck,Kwong,4/4/2023 5:01,1948.0,4.0,17.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
56,57,25300,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,1,U,M,9/30/1944 0:00,Peterffy,Thomas,4/4/2023 5:01,1944.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
57,58,25200,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,1,U,M,3/8/1972 0:00,Melnichenko,Andrey,4/4/2023 5:01,1972.0,3.0,8.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
58,59,24600,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,0,U,M,5/9/1966 0:00,Quandt,Stefan,4/4/2023 5:01,1966.0,5.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
59,60,24400,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,0,D,F,4/7/1970 0:00,Scott,MacKenzie,4/4/2023 5:01,1970.0,4.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
60,61,24200,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,0,U,M,1/1/1941 0:00,Hartono,R. Budi,4/4/2023 5:01,1941.0,1.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
61,62,23700,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,1,U,M,1/3/1961 0:00,Potanin,Vladimir,4/4/2023 5:01,1961.0,1.0,3.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
62,63,23500,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,1,U,M,9/10/1964 0:00,Ma,Jack,4/4/2023 5:01,1964.0,9.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
63,64,23400,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,1,D,M,8/11/1942 0:00,He,Xiangjian,4/4/2023 5:01,1942.0,8.0,11.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
64,65,23100,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,0,U,F,1/1/1943 0:00,Fontbona,Iris,4/4/2023 5:01,1943.0,1.0,1.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
65,65,23100,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,0,U,M,10/2/1939 0:00,Hartono,Michael,4/4/2023 5:01,1939.0,10.0,2.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
66,67,22900,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,1,U,M,1/1/1953 0:00,Ratcliffe,James,4/4/2023 5:01,1953.0,1.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
67,68,22600,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,0,D,M,5/11/1941 0:00,Poonawalla,Cyrus,4/4/2023 5:01,1941.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
68,69,22400,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,1,U,M,8/11/1957 0:00,Son,Masayoshi,4/4/2023 5:01,1957.0,8.0,11.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
69,70,22100,Metals & Mining,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,1,U,M,5/7/1956 0:00,Lisin,Vladimir,4/4/2023 5:01,1956.0,5.0,7.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
70,71,22000,Food & Beverage,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,0,D,M,9/18/1970 0:00,Besnier,Emmanuel,4/4/2023 5:01,1970.0,9.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
71,72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,0,U,F,12/19/1961 0:00,Johnson,Abigail,4/4/2023 5:01,1961.0,12.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72,72,21600,Energy,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,1,U,M,8/11/1955 0:00,Mikhelson,Leonid,4/4/2023 5:01,1955.0,8.0,11.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
73,74,21200,Fashion & Retail,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,0,U,M,9/19/1986 0:00,Walton,Lukas,4/4/2023 5:01,1986.0,9.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
74,74,21200,Service,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,1,D,M,10/1/1970 0:00,Wang,Wei,4/4/2023 5:01,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
75,76,21100,Technology,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,1,U,M,2/17/1963 0:00,Huang,Jensen,4/4/2023 5:01,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
76,77,21000,Fashion & Retail,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,0,D,M,3/19/1933 0:00,Lauder,Leonard,4/4/2023 5:01,1933.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,77,21000,Manufacturing,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,1,D,M,6/10/1945 0:00,Takizaki,Takemitsu,4/4/2023 5:01,1945.0,6.0,10.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
78,79,20900,Metals & Mining,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,1,U,M,9/26/1965 0:00,Mordashov,Alexey,4/4/2023 5:01,1965.0,9.0,26.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
79,80,20500,Energy,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,1,U,M,9/1/1950 0:00,Alekperov,Vagit,4/4/2023 5:01,1950.0,9.0,1.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
80,81,20200,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,1,D,M,8/12/1938 0:00,Frist,Thomas,4/4/2023 5:01,1938.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
81,82,19600,Metals & Mining,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,1,U,M,11/18/1961 0:00,Forrest,Andrew,4/4/2023 5:01,1961.0,11.0,18.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
82,83,19100,Finance & Investments,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,1,D,M,8/8/1949 0:00,Dalio,Ray,4/4/2023 5:01,1949.0,8.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
83,84,19000,Automotive,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,1,D,M,6/1/1963 0:00,Li,Eric,4/4/2023 5:01,1963.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,84,19000,Metals & Mining,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,1,U,M,3/1/1968 0:00,Wang,Wenyin,4/4/2023 5:01,1968.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
85,86,18900,Diversified,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,0,U,M,6/2/1950 0:00,Ofer,Eyal,4/4/2023 5:01,1950.0,6.0,2.0,128.01454200084424,4.419459687631912,7184844193.0,67.41358076760861,102.8720792914382,78.08793757908056,12.548354430379746,43.88371994938844,38964.0,43.7384176,7.4246158
86,86,18900,Food & Beverage,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,1,D,M,4/17/1965 0:00,Qin,Yinglin,4/4/2023 5:01,1965.0,4.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
87,88,18700,Automotive,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,1,D,M,2/15/1966 0:00,Wang,Chuanfu,4/4/2023 5:01,1966.0,2.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
88,89,18500,Energy,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,1,U,M,12/11/1945 0:00,Hamm,Harold,4/4/2023 5:01,1945.0,12.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
